epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.011313669383525848,0.011776738800108433,0.8920480975538779,0.9940250203208649,0.9412548200725104,0.993126564068778
2,0.004938007332384586,0.0037526108790189028,0.9468476227295605,0.9973680812860446,0.94739702287041,0.994020202739487
3,0.003408483462408185,0.004563133232295513,0.9505816366846549,0.9976797582928093,0.9473209751807119,0.9933735054541366
4,0.00923071801662445,0.010084488429129124,0.9512737888409617,0.9976345461043448,0.9239823462719787,0.9935198899419035
5,0.004321202170103788,0.006236768793314695,0.9482463925792226,0.9973351080196481,0.9494216597245031,0.9937136295650807
6,0.009371541440486908,0.004867106210440397,0.9530393093431949,0.9978018574212362,0.9436113868235632,0.9941700147318825
7,0.004421581514179707,0.0065607111901044846,0.952969023841138,0.9978140760528267,0.9489698117696923,0.9940431304795391
8,0.004097455646842718,0.003987361676990986,0.9547851689288746,0.99805650851016,0.9508206786616212,0.9939630533479149
9,0.005827867425978184,0.0033424757421016693,0.9558727614894452,0.9981168024056628,0.9475259699682741,0.9941236500884966
10,0.004087153356522322,0.005336969159543514,0.9530421533278103,0.9978648179673648,0.952465928593331,0.9937937362451769
11,0.004551782738417387,0.004206090699881315,0.9560526825068419,0.998179079998559,0.9549251686288904,0.9937491619361057
12,0.0031157485209405422,0.007825635373592377,0.9573289399718994,0.9983142064322225,0.949145807520979,0.9942274377746416
13,0.004908424336463213,0.017066529020667076,0.9553978052684078,0.9981490910506237,0.9497443360985377,0.9937452992056892
14,0.003379879053682089,0.005927610211074352,0.9574202513332661,0.9983647146910556,0.9527994275664362,0.9938629380718551
15,0.003533613868057728,0.003403604496270418,0.9588593363086881,0.9984726417779136,0.9538701710182955,0.9941487016873455
16,0.0037043315824121237,0.004030483774840832,0.959485162987041,0.9985650673971237,0.9534492465156068,0.9938264845639972
